doc_id,screen_name,party,message
13,mdiazbalart,Republican,"My staff will be at Everglades City Hall today, located at 102 Copeland Ave North from 1-5 PM with FEMA specialists if you need help with the disaster relief application."
14,RepLowenthal,Democrat,I was proud this week to join 120 colleagues in signing a letter to FBI Deputy Attorney General Rosenstein calling on him protect the integrity and independence of Special Counsel Robert Mueller’s investigation. The Special Counsel and his team must be allowed to complete their investigation. President Trump must know any attempt to end this investigation will unleash a political crisis he will not be able to contain. Read the entire letter on my website by clicking below.
15,RepDaveJoyce,Republican,"November is #NationalHealthySkinMonth. As the co-chair of the House Skin Cancer Caucus, and as someone who has had Melanoma, I urge you to get screened this month. Here are some tips for National Healthy Skin Month, which I encourage you to practice all year round."
16,SenDuckworth,Democrat,I’m speaking on the Senate floor to protest the nomination of Steven Bradbury – author of the torture memos – to be US Department of Transportation General Counsel.
17,HurdOnTheHill,Republican,Really enjoyed sharing stories with HACU National Internship Program Hispanic Association of Colleges and Universities interns from my time in the CIA and how that influenced my decision to run for congress. Thank y’all for having me!
18,RepKinzinger,Republican,"To say I’m disgusted would be an understatement.  By meeting with the mass murderer of Syria, Bashar al-Assad, Tulsi Gabbard has legitimized his dictatorship and in turn, legitimized his genocide against the Syrian people - the murdering of 50,000+ innocent children among the nearly half million total slaughtered by his regime. A whole generation of Syrian children that could have been police officers, teachers, or doctors, but whose lives were cut short by barrel bombs and airstrikes.   It is beyond reprehensible and cannot possibly be justified."
19,RepBobGibbs,Republican,"This weekend's violence in Charlottesville, and the hate that fueled it, is antithetical to America and our common values. It has no place in our nation. I pray for the families of those injured or killed and hope justice is served against those who perpetrated such awful criminal acts."
20,JodeyArrington,Republican,"Israel is our steadfast ally and the only true democracy in the Middle East.  I am proud to stand with Israel through this resolution denouncing President Obama’s deplorable treatment of our longtime partner in freedom. I applaud my colleague, Congressman Ed Royce (CA-39), for his leadership.    Rest assured, I will continue to work tirelessly alongside our new administration to repair our partnership with Israel."
21,RepresentativeValDemings,Democrat,"This morning, I toured the Hurricane Irma damage in Orlo Vista, one of the most impacted communities in Florida’s 10th Congressional District. Orange County and residents are going to need additional resources to help recover, and I am committed to making sure the federal government gets it done."
22,RepMimiWalters,Republican,Happy 70th birthday to the @USairforce! Thank you to all of the brave Airmen who fought for the freedom and safety of our great Nation! #AFBday
23,RepJoshG,Democrat,"This morning, I was honored to attend Closter's memorial service to remember 9/11 and the souls we lost that day. The service was also attended by students from Northern Valley Regional High School, many born after September 11, 2001. For them, especially, we must pass down the memory of our friends, family, and neighbors who were lost that day, so that our nation will #NeverForget.  While our New Jersey communities and our nation lost so much that day, we also learned just how resilient we can be and how strong we must remain in the continued face of terror.   To all of the first responders that ran towards the fires and rubble that day, we thank you for your service and sacrifice.   To those veterans and men and women in activate duty, thank you for protecting our homeland.   To all of those who lost loved ones that day, our community stands with you today and every day.   With our strength and perseverance, America will always be the greatest nation in the world, and our best days will always be ahead of us."
24,Rep.Grijalva,Democrat,"Joined my Democratic colleagues today in introducing the #AmericanHopeAct, a legislative fix that protects #DREAMers from deportation, allows them to apply for permanent residency, and provides a pathway to US citizenship."
25,SenatorLankford,Republican,"There has been a lot of confusion about what’s happening with the federal Children’s Health Insurance Program, also called CHIP. Jimmy Kimmel discussed it on his late-night show last night, so I wanted to clear some things up.   HERE ARE THE FACTS: Created in 1997, CHIP is a healthcare federal block grant program to the states to provide health insurance for low-income children who don’t qualify for Medicaid. This CHIP block grant is administered by the Centers for Medicare and Medicaid Services (CMS) and must be matched with state dollars. In Oklahoma, approximately 180,000 children benefit from this block grant program. On October 1, 2017, the federal funding authorization for the program expired, however, there is enough money in the program to fund it until March 2018 for most states, including Oklahoma.    I want to be clear: I fully support the CHIP program. Unfortunately, there are some serious management inefficiencies, fraud, and waste within the CHIP program that need to be addressed. I am eager to see some fiscally responsible and sustainable reforms made to the program so that it’s strengthened for the families who rely on it and the funding for the program can go undisturbed for years to come. Children and families are counting on us to put in safeguards now so that cuts are not necessary in the future. Although the funding for this program lasts until next Spring, I want a solution sooner rather than later. I don’t sit on the committee working on CHIP reforms (Senate Finance Committee), but I am working with my colleagues to ensure that children continue to get the support they need, and I will keep you updated in the days ahead."
26,RepresentativeSteveKnight,Republican,"My staff enjoyed reading today at Gregg Anderson Academy for the Annual Read Across America Day. This year-round program focuses on motivating children and teens to read through events, partnerships, and reading resources. Thank you to Mrs. Diaz and the other amazing teachers that give of their time and resources to impact the students of the Antelope Valley."
27,RepJasonLewis,Republican,"As we approach Memorial Day, I'll be speaking on the Floor after votes tonight to recognize our military and our fallen soldiers. Through their service and selflessness, our nation’s sons and daughters have kept our country strong and free.  Tune in after 6pm CST at the C-Span link below."
28,RepLouiseSlaughter,Democrat,"According to the latest data from the U.S. Census Bureau, the number of uninsured Americans has plummeted in recent years thanks to the Affordable Care Act (ACA). In 2015 alone, 900,000 Americans gained quality health care under the ACA, a landmark law I’m proud to have brought to the floor as chairwoman of the Rules Committee in 2009. Despite this major progress, the president is still dangerously pushing ahead by gutting enrollment outreach efforts and threatening to cut funding for cost-sharing subsidies. Protecting the health of millions of Americans who rely on this law should be a bipartisan effort. I’m outraged by the president’s indifference and will never stop working to protect your care."
29,RepMimiWalters,Republican,My thoughts and prayers are with people of Florida and those in Hurricane #Irma’s path. #CA45 stands with you.
30,RepJoyceBeatty,Democrat,"Kevin was unable to get health insurance because of a preexisting condition. Thanks to the #ACA, he and his family's lives are forever changed.   Thank you, Kevin, for sharing your story and for joining me at tonight's #JointSession."
31,RepSeanMaloney,Democrat,"The anchorage proposal is a mess and our bipartisan team from the Hudson Valley is working together to sink it. Today I was in Yonkers with Rep. Eliot Engel, Mayor Mike Spano, Riverkeeper and Scenic Hudson announcing legislation to stop the proposal – the Hudson River Protection Act."
32,RepresentativeDougCollins,Republican,"Working to make sure bad actors don't exploit H-1B visas to strip Americans of their jobs and force them to train their replacements.   This is an abuse of the system that should never happen, and I've introduced legislation to strengthen the law protecting hardworking Americans.    https://dougcollins.house.gov/press-releases/collins-kilmer-reintroduce-bipartisan-bill-to-stop-the-outsourcing-of-american-jobs/"
33,timryan,Democrat,Check out my Op-Ed and learn more about why investments in maker education are well worth it. Thank you to the Maker Education Initiative for your work on these issues!
34,RepNormaTorres,Democrat,"Every day, 19 children are either killed or injured by a firearm.  National ASK Day is a reminder that while it might be an uncomfortable question, asking if there’s a gun in a home where your children will play and what measures are taken to secure it can help save lives."
35,SenatorKaine,Democrat,"November is National Alzheimer's Disease Awareness Month and National Family Caregivers Month, and I’m thinking about families – including my own – who care for those living with Alzheimer’s. To help alleviate the painful burden this disease has on patients and their families, I introduced a bipartisan bill with  U.S. Senator Susan Collins,  Senator Catherine Cortez Masto, and Senator Shelley Moore Capito that would improve care and outcomes by providing a full range of information and support to families caring for loved ones with Alzheimer’s. I’m extremely thankful for the work of the Alzheimer's Association and its local chapters in Virginia communities and across the country to help patients and their families. https://fcnp.com/2017/11/09/kaine-introduces-alzheimer-legislation/"
36,johnmccain,Republican,A must-read from the Washington Post on the 10 sailors lost from the USS John S. McCain.
37,CongresswomanRosaDeLauro,Democrat,"Are you looking for tax preparation assistance? Make tax season easier with the Volunteer Income Tax Assistance (VITA) program where local volunteer sites are available to help qualifying constituents prepare and file income tax returns.  Help is available through the VITA program to people who generally make $54,000 or less, persons with disabilities and limited English speaking taxpayers who need assistance in preparing their own tax returns.   In addition, the Tax Counseling for the Elderly (TCE) program offers free tax help for all taxpayers, particularly those who are 60 years of age and older, specializing in questions about pensions and retirement-related issues unique to seniors.  Use the VITA / TCE Locator Tool on IRS.gov to find help near you"
38,CongressmanDavidValadao,Republican,"Today, the President signed the Veterans Affairs Accountability and Whistleblower Protection Act into law. I'll keep fighting to ensure our Central Valley veterans get the care they deserve."
39,RepSeanMaloney,Democrat,"Millions of American citizens in Puerto Rico are in serious danger – they don’t have electricity, they don’t have clean water, and they needed our help yesterday. We’ve got the resources and personnel necessary to save lives and help our fellow Americans rebuild – it’s time to get in gear and get them on the ground. I urge the President to send help immediately and to send Congress an updated FEMA funding request ASAP."
40,RepMarkTakano,Democrat,"The Secretary of the Department of Labor is supposed to be the leading advocate for America's workers. There is simply no way that Andy Puzder is qualified to fill that role.   In his two decades as the CEO of a fast food giant, Puzder has faced numerous complaints of wage theft, workplace discrimination, and unsafe working conditions. He also opposes raising the minimum wage and opposes restoring overtime protections to millions of middle class workers.   At the very least, the Labor Secretary should believe in the mission of the agency…and Andy Puzder does not. The Senate should reject his nomination."
41,lloyddoggett,Democrat,"President Trump wanted the FBI as his own police force, not America’s police force, demanding loyalty to him, not our country. You can watch former FBI Director James Comey's testimony starting at 9:00 a.m. CT today."
42,reprichardneal,Democrat,"Join members of my staff for open office hours tomorrow at Pittsfield City Hall from 9:00-10:30am, Peru Town Hall from 3:00-4:30pm and Hinsdale Town Hall from 5:00-7:00pm."
43,congresswomansusanwbrooks,Republican,"For over 25 years, Open Doors of Washington Township has helped #Hoosiers in the Westfield Washington Township area and done so with integrity, respect, honesty, fairness, and stewardship. It was an honor to be a part of the grand opening of their new facility, and I was happy to meet so many dedicated volunteers. Open Doors' work has improved the lives of people in need since 1990 through their centralized food and clothing pantry, community assistance operations and seasonal special programs. Open Doors is an example of the good that can come from coming together despite our differences to help our neighbors. To date, they have served over 13,000 families with over 670,000 pounds of food! For more pictures from the grand opening >> https://susanwbrooks.house.gov/media-center/in-the-news/snapshot-open-doors-holds-open-house-at-new-facility"
44,RepJimmyGomez,Democrat,"The GOP has managed quite a feat! Just when you think they have reached the bottom of the barrel, they scrap together a “tax plan” that not only massively blows up the deficit but also obliterates the environment. #DrillBabyDrill"
45,RepMoolenaar,Republican,Saddened today to hear of the passing of Sam Ortisi. He worked hard and he lived the American Dream. His customers have fond memories of him serving them at his restaurant and he will be missed by all. Rest in peace.
46,congressmanpittenger,Republican,"Tonight, we have the great privilege of hearing from President Donald J. Trump as he sets forth his plans to protect our great freedoms.  He'll be speaking, of course, from the U.S. Capitol, which represents freedom, liberty, and opportunity to all of us in America, and so many around the world who hold our values in high esteem.  Below is a video I recorded to give friends like you a quick tour of the Capitol, including a behind-the-scenes view of the Lincoln Room and a preview of what President Trump will see as he enters the House Chamber.  When you're next in Washington, please call my office at 202-225-1976.  We'd be happy to give you a private tour of the art and history of our Capitol."
47,senatordonnelly,Democrat,"Great to meet with Carlie Irsay-Gordon, Vice Chair and Owner of the Indianapolis Colts. Looking forward to the 2017 season. Go Horse. –Joe"
48,RepJudyChu,Democrat,Hundreds of thousands of Americans wrote to U.S. Department of Health and Human Services opposing Trump's contraception rules and today we delivered them.   We don't ask employers for permission for an inhaler or blood pressure medication. Why should we need their permission for birth control?
49,SenatorWhitehouse,Democrat,"The pressure on the Department of Justice to put the political demands of the President above the law is going to require the highest degree of independence from the Attorney General. Senator Sessions does not meet that standard, and I will not be able to vote to confirm him."
50,mdiazbalart,Republican,"‪Visited Rocky Patel Cigars, a local business that sustains dozens of jobs in #SWFL ‬"
51,CongresswomanAdams,Democrat,"Equal Pay Day symbolizes when, more than three months into the year, women’s wages finally catch up to what men were paid in the previous year. Last week during the Women's Symposium and Networking Fair Mecklenburg County Women reflected on what Equal Pay Day means to them:"
52,RepWesterman,Republican,"Answering your questions for #YourVoiceAR, a grant for Texarkana Regional, and more in this week's eNewsletter:"
53,replizcheney,Republican,My first priority will always be to support the Veterans of Wyoming and I'm proud I was able to include a provision in the House version of the NDAA to extend the ban on returning the Bells to the Philippines.
54,senatorlamaralexander,Republican,"I had the honor of introducing Tennessee Senate Majority Leader Mark Norris at his confirmation hearing today before the U.S. Senate Judiciary Committee. He will be a tremendous asset to the federal bench, in my opinion. Tennessee is fortunate President Trump nominated such a well-qualified nominee. Senator Norris is respected by his peers around the country, having been elected chairman of the Council of State Governments, and has been an advocate and a champion for federalism and for the separation of powers. He is a citizen, a lawyer and a legislator, and I have known him for many years – since I was the governor of Tennessee."
55,GwenSMoore,Democrat,"I guess #DrainTheSwamp means gutting the independent Office of Congressional Ethics behind closed doors without any advance notice or debate on the matter. Have you no shame, House Republicans?"
56,stevekingia,Republican,Tanzania miracle kids are survivors of a terrible bus crash that killed 35. Their lives saved and bodies repaired by Dr. Steve Meyer. Thank you to all our Iowans who continue to show them hospitality.
57,RepDwightEvans,Democrat,My first Town Hall Meeting was a success. It was wonderful to have a thoughtful and meaningful conversation with so many Philadelphia and Montgomery County residents. I look forward to continuing our conversation soon!
58,SenatorTimScott,Republican,This morning I questioned witnesses in Senate Banking Committee on the effectiveness of our current sanctions against Russia. Watch below:
59,RepMikeThompson,Democrat,Today I showed Republican Leader Kevin McCarthy around our community so he could see first-hand the devastation left behind by the fires. I explained to him that we'll need the full support of Congress to ensure we have all the resources needed to recover and rebuild from these horrific fires.
60,RepJoyceBeatty,Democrat,"Just signed the discharge petition to bring the #ProtectOurDemocracy Act to the House Floor for a vote. The bill will establish an independent, outside commission to investigate #TrumpRussia.  Americans are demanding answers and want the truth!"
61,DonaldPayneJr,Democrat,"This weekend on New Jersey Power & Politics, I spoke with News 12 New Jersey host Eric Landskroner about the Gateway Project and the GOP's second proposal for repealing and replacing the Affordable Care Act."
62,reppaultonko,Democrat,"Thanks Liz Benjamin & Capital Tonight for having me on last night to talk #ACA, #TrumpCabinet, #PollutingPruitt via YNN-Albany"
63,reptomrice,Republican,Why is the media not reporting on THIS Russian scandal? Hillary Clinton is a crook and a proven liar. Yet all you hear about from the media is the supposed collusion between Russia and President Trump. Let’s hear it for the fair and impartial press…
64,RepStevePearce,Republican,"After learning the DACA program would come to an end in just six months, I immediately went to work to develop a solution. One that will provide young immigrants in New Mexico, and around the nation, with even greater certainty so they can continue to work, go to school, and provide for their families with no strings attached. The bill I introduced does just that.  Read more about my bill here: https://pearce.house.gov/press-release/pearce-introduces-legislation-provide-certainty-daca-recipients"
65,SenatorLutherStrange,Republican,"President Donald J. Trump made a great choice in tapping Alabama native, Tony Tooke, to serve as Chief of the U.S. Forest Service. Alabama's forests are a beautiful and important resource for our state, and the nation's forests are in good hands!"
66,RepBonnie,Democrat,Members of the CBC attend Senator Sessions' hearing
67,RepDavidEPrice,Democrat,"Tonight, I will offer an appropriations amendment to ensure that no funding can be used by President Trump's alarming ""Election Integrity"" Commission to collect or store state and local voter data. You can watch the committee hearing live at 7 PM:  https://appropriations.house.gov/videos/"
68,RepMoBrooks,Republican,Enjoyed meeting with members of the National Association of Insurance & Financial Advisors from the Tennessee Valley and discussing tax reform. Thank you for stopping by today!
69,senjoniernst,Republican,Traveling office hours are a great opportunity to talk with a member of my staff in a town near you. Here is where my staff will be today
70,mcmorrisrodgers,Republican,My staff will be in my Walla Walla office tomorrow from 9 AM to 2 PM. Live in the Walla Walla area and need help with a federal agency or just want to have your voice heard? Stop by tomorrow!
71,derek.kilmer,Democrat,"Servicemembers in our region don’t just defend our country from outside threats, they also step in to help when communities are devastated by major storms. The Kitsap Sun has a terrific read about a team from Naval Supply Systems Command Fleet Supply Center Puget Sound that deployed to Navy installations after Hurricanes Irma and Maria. They played a key role in making sure that basics – from bottles of water to generators – were getting where they needed to go. Take a minute to thank these folks for their service and share the story of their work!  http://www.kitsapsun.com/story/news/local/2017/10/13/kitsap-county-sailors-lend-hand-bases-devastated-hurricanes/750950001/"
72,derek.kilmer,Democrat,"Last Friday, I shared my thoughts with KOMO TV on the healthcare bill the House passed."
73,CongresswomanTitus,Democrat,"After the Great Recession, it is unconscionable that Republicans are pushing for a measure to erode consumer protections that currently keep predatory lenders at bay. Today I introduced a provision to ensure that we uphold the highest standards in our communities and neighborhoods as we continue to recover."
74,395759603917487.0,Democrat,I was so glad to have the opportunity to be on the ground in #Israel and reflect on our role in #Congress to support a solution of #peace.  http://jstreet.org/press-releases/j-street-takes-largest-ever-congressional-delegation-israel-west-bank/
75,congressmanpittenger,Republican,"The horrific attack on families and children at the concert in the U.K. again demands the focus and determination of free loving peoples to unite together to eliminate the deadly threats to our way of life.  In his speech to 50 Arab nations, President Trump clearly conveyed the ominous threat of Islamic terrorists and the absolute necessity for global resolve to drive out this diabolic adversary.  We will continue to work with our allies in Parliaments throughout the world to utilize every tool of counterterrorism and military tactical efforts to win this battle."
76,RepEliseStefanik,Republican,"This Saturday, November 25th, is Small Business Saturday! Growing up in a small business family, I know how critical these businesses are to our economy and to our communities. To find participating businesses in NY-21, click here→ goo.gl/YwKCVx"
77,jefffortenberry,Republican,"Sorry, everybody, we are still out of eclipse glasses. We will let you know if we get more. #eclipse2017"
78,RepDwightEvans,Democrat,Maggie L. Walker--“the first country’s first woman to found a bank.” ✊������✊������✊������
79,RepBarbaraLee,Democrat,"Voter fraud is a myth that is used to justify voter suppression. If Republicans truly cared about fairness at the ballot box, they would help us restore the Voting Rights Act. Instead, they are deliberately disenfranchising people of color, seniors, student, the poor and the disabled. This is an historic injustice."
80,repscottperry,Republican,"The Department of Veterans Affairs (VA) is taking new steps to ensure that Veterans have access to the care they need.  As part of this effort, the VA launched a new Access and Quality Tool that provides an easy way to access patient wait time and quality of care data. The tool provides not only more information about VA services, it also increases accountability and ensures that the VA is held to a higher standard.  See the Access and Quality Tool at http://www.accesstocare.va.gov/."
81,CongresswomanBarragan,Democrat,"House Republicans put party before America’s working class by voting to raise taxes on 36 million families. The GOP may consider this a legislative victory, but it comes at the expense of students, teachers, seniors, workers, homeowners, and basically anyone who is not in the top one percent of earners. I voted no. Read my full statement. https://barragan.house.gov/media/press-releases/rep-barrag-n-statement-her-vote-against-gop-tax-scam"
82,RepDrewFerguson,Republican,Proud to join with my colleagues to pass legislation to ensure the VA is held accountable to provide our veterans high quality care.
83,NancyPelosi,Democrat,Congress must move beyond President Trump’s political cowardice and protect DREAMers immediately. https://goo.gl/LpGSZj
84,jaredpolis,Democrat,"Senate Republicans have delayed a vote on their cruel healthcare bill. Over the next week, I hope Republicans reach out to Democrats, so we can work together to meet the 3 major criteria the American people demand:   1. Reducing cost 2. Increasing coverage 3. Improving quality"
85,CongressmanAlexMooney,Republican,"If you are planning a trip to Washington, D.C., contact my office to receive exclusive tours of the White House and U.S. Capitol Building."
86,EdRoyce,Republican,"Great news for our California National Guard heroes! It should not have taken this long, but the Department of Defense made the right decision to allow 17,000 of our National Guard members to keep the bonuses that they rightful earned serving their country. Our men and women in uniform must always know that we've got their back."
87,RepSteveChabot,Republican,Currently speaking on the House Floor about the opioid epidemic.   Watch here: http://www.house.gov/content/features/story2/
88,CongresswomanEBJtx30,Democrat,"#BlackHistoryMonth spotlight: Today we honor Pearl C. Anderson. Pearl C. Anderson was a public servant who moved to Dallas in hopes of gaining greater opportunity as a Black woman. After opening her own grocery store and accruing other properties, Anderson involved herself in the NAACP as a chair for the committee dedicated to investigating the bombings of Black-owned homes in the city. Anderson also contributed to the community while serving on the committee to bring Bishop College to Dallas and gave sizable donations to various organizations within the city of Dallas. To learn more read here: https://tshaonline.org/handbook/online/articles/fan66"
89,CongressmanGarretGraves,Republican,"After many meetings and calls with the agency, we're happy to announce that FEMA will extend the proof of loss deadline for our flooded friends and families in South Louisiana, allowing a total of 270 days to provide their completed proof of loss to their insurer.   See the official word from FEMA below, and don't hesitate to contact our office if we can be of assistance.   ###   The Standard Flood Insurance Policy (SFIP) requires a policyholder to send the insurer a complete, signed, and sworn proof of loss within 60 days after the date of loss.  Due to the significant, widespread flooding that occurred in portions of Louisiana between August 9, 2016 and August 31, 2016, FEMA issued two Write Your Own (WYO) Bulletins extending the proof of loss deadline:   • WYO Bulletin W-16067 (September 9, 2016) – 60 Day Extension • WYO Bulletin W-16089 (December 2, 2016) – 60 Day Extension   To allow policyholders time to finalize their claims, an additional limited waiver of the 60-day proof of loss requirement has been issued, extending the period an additional 90 days.  With this extension, a National Flood Insurance Program (NFIP) policyholder will have a total of 270 days after the date of loss to provide the completed, signed, and sworn-to proof of loss to the insurer.  This waiver is issued pursuant to 44 CFR § 61.13(d) and the SFIP.  This waiver does not alter any other terms or conditions of the SFIP.   In order to expedite the recovery process, policyholders are urged to submit a proof of loss as soon as possible.  Policyholders should contact their insurer for assistance with filing a proof of loss."
90,RepTsongas,Democrat,"""Ms. Tsongas said the operation supports farm-to-table efforts, with over 900 farms in this district producing food, providing jobs and protecting the area’s landscape and heritage."" ICYMI - read about my tour of Little Leaf Farms in the Worcester Telegram & Gazette: http://www.telegram.com/news/20170710/lettuce-man-helps-grow-hydroponic-farm-at-devens"
91,RepDonBacon,Republican,"I had the opportunity to meet two exchange students, Blanche Boni-Mississo from Ghana and Nadya Dicky from Indonesia, to discuss the importance of international exchange programs.  International students at colleges and universities contributed an estimated $148.8 million to the Nebraska economy in the 2015-2016 academic year."
92,RepJuliaBrownley,Democrat,"¡Bienvenidos! I would like to welcome the representatives of the municipality of Ocotlán, Jalisco who traveled to Oxnard to celebrate their Sister City partnership. For over 50 years, Oxnard and Ocotlán have come together to encourage cultural exchange and promote goodwill and strengthen familial, economic, and political ties between the United States and Mexico.   You can find out more about Sister Cities here:  http://www.sister-cities.org/about-sister-cities-international"
93,RepDonBacon,Republican,"""One of the most serious risks to our [military] bases in Europe is Russia's corner on oil and natural gas..."" Proper oversight of our facilities' energy reliance will help ensure the safety of our men and women in uniform."
94,RepDebbieDingell,Democrat,"On Capitol Hill today working on many issues - from keeping the government open to DACA and the Children's Health Insurance Program. One issue that is overshadowed in all of this is the environment. U.S. Environmental Protection Agency Administrator Scott Pruitt is testifying before the Energy and Commerce Committee today. I'm planning to ask him about many of the issues we care about in Michigan, including keeping the #GreatLakes clean and keeping our commitment to Flint families. If you've got questions for the Administrator, please post them in the comments below and I will do my best to include them this afternoon."
95,RepresentativeValDemings,Democrat,"If Congress doesn't protect American families, who will?   The Financial CHOICE Act will roll back Dodd-Frank consumer protections that were enacted after the financial Crisis of 2008 and protect consumers from predatory lenders.  We cannot afford to go back. That's why I'm voting NO tonight."
96,repohalleran,Democrat,My staff is available to answer your questions as you identify and apply for federal grants and loans. Learn more about the process on my website: http://bit.ly/2l87jcl
97,RepJeffDuncan,Republican,"Once again, President Trump has gotten it right. Choosing a nominee of the stature of Judge Gorsuch shows a continued commitment to originalist and textualist principles that served our country well with Justice Scalia, and will continue to serve us well in the future.  I am particularly heartened that President Trump has nominated a justice who will play a key role as the Court decides issues related to Life, religious liberty, and the proper role of government. Judge Gorsuch’s rulings and comments on these matters gives me great hope that he will be a forceful conservative voice on the Court for decades to come.  I look forward to a speedy confirmation in the Senate, and I call on our Senators to get Judge Gorsuch on the bench as quickly as possible to get the Court back on track."
98,Rep.Grijalva,Democrat,"The ACA is not perfect, but our options are to improve a law that already works for millions of Americans, or scrap it for empty promises of better care at cheaper costs. Republicans have campaigned on calls to “repeal and replace” for six years, and yet they never bothered to offer a plan. Now, with control of both houses of Congress and the White House — and with their backs against a wall to deliver on this political fantasy they’ve been selling their base — the GOP is rushing through a plan that is literally a disaster in waiting."
99,SenatorRichardBurr,Republican,"Nikki Haley will bring a fresh perspective to the United Nations. She has a record of success in South Carolina and is well prepared to engage with world leaders and craft solutions to the world’s most difficult humanitarian crises and political conflicts. Her pledge to support Israel, our closest ally in the region, will rebuild a critical relationship"
100,RepLouiseSlaughter,Democrat,"Forty-four million people across the country owe over $1.3 trillion in student loans, with the average 2016 graduate owing more than $37,000. In today’s competitive global economy, we need more students graduating with a college degree and less graduating with unsurmountable debt. The spending agreement reached over the weekend is a step toward a solution because it expands Pell grant eligibility to include low-income students attending year-round classes and would provide one million students with an average award of $1,650. This is a smart, bipartisan approach to making college more affordable. Protecting the right for all students to get a college education is a top priority of mine and I recently co-sponsored the Affordability for Constant and Continual Education to Enhance Student Success (ACCESS) Act, which would reinstate the summer Pell Grant, allowing students to complete their degrees on time as well as participate in accelerated programs that require summer courses. If we want to inspire the next generation workforce in photonics, teaching, arts, STEM, or any other field, we have to make college degrees more, not less, accessible."
101,CongressmanRyanCostello,Republican,"I hope everyone enjoyed Christmas with family and loved ones. Recently, I helped reauthorize very important grant funding for local fire companies, such as one that I recently visited for the opening of the new station - Limerick Fire Company. These grants help our local volunteer fire companies purchase equipment to serve local communities across PA6."
102,congressmanpittenger,Republican,"China is acquiring American companies at a breathtaking pace. To be specific, between 2012 and 2016, Chinese investment in the US increased by over 900%. What is concerning is that much of the investment is controlled or directed by China’s Communist leadership as part of a strategy to target American infrastructure and companies that provide critical national security services.    For the past two years, I have been leading a bipartisan Congressional effort to increase U.S. scrutiny of specific Chinese investments which threaten our national security. In the coming days, I will being introducing new legislation to strengthen our procedures for blocking foreign investments which threaten America’s national security."
103,johnbarrasso,Republican,Great to be in Cody yesterday and today to celebrate Independence Day. Thanks to Longmire stars Robert Taylor and Adam Bartley for serving as the Grand Marshals of the parade.
104,115356957005.0,Democrat,"Today we have a choice. We can vote to force families to pay higher premiums and deductibles, vote to kick 24 million Americans off of their health insurance, vote to impose an #AgeTax on older Americans, and vote to shorten the life of the Medicare Trust Fund.   Or, we can vote to keep America healthy. Vote to keep protections for individuals with preexisting conditions. Vote for a healthcare system that doesn’t discriminate against women.   For me, the choice was simple. I’ll continue to fight every day to ensure every American family has the peace of mind to know they’ll be protected in a medical emergency."
